Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,emotion
70,Andrew Belle,The Daylight,3fy4r3gnyaNejuc7jZwAxG,32,2012,acoustic,0.995033613,-0.253862127,1,-5.857,1,0.0282,-0.771118127,-0.225568325,-0.707308088,0.441072934,119.993,282742,4,Sad
71,Ichiko Aoba,IMPERIAL SMOKE TOWN,0awBHWlzmycfbukAxGecCK,31,2012,acoustic,-0.143313772,-1.799144266,10,-18.468,0,0.0651,1.880246117,-0.022869098,-0.65260094,-1.485048712,113.496,437733,3,Happy
72,Steve Petrunak,O Come All Ye Faithful,2VPVtEqfCbxwrgQRdNPKp1,29,2012,acoustic,-0.370983249,-1.47382171,8,-11.934,1,0.0443,1.477414533,1.982209734,-0.547165345,0.530452128,111.097,142253,4,Happy
73,Boyce Avenue,Somebody That I Used to Know,0UrGdW00AYx3eqNmzLHIEf,40,2012,acoustic,1.038399227,-0.856448224,11,-10.078,0,0.0323,0.066095487,-0.691228709,-0.633204769,-0.717132464,120.02,238200,4,Sad
74,Steve Petrunak,Angels We Have Heard on High,4zUrEicnZk7cXYcntIX12b,28,2012,acoustic,-0.273410616,-1.736297863,2,-14.93,1,0.047,1.545022631,0.897494956,-0.363150393,-0.858649522,97.965,203853,4,Happy
75,Ingrid Michaelson,How We Love,4FFnf39apAJSeKp1qXNovT,27,2012,acoustic,0.696895012,-1.943321308,4,-13.755,1,0.0565,1.666153807,-0.691219807,-0.5571121,-0.605408471,119.791,213640,4,Happy
76,Eric Hutchinson,Not There Yet,3492c69DsiY9PZsjspF2cb,27,2012,acoustic,0.989612911,0.736892929,9,-4.138,1,0.0326,-0.688298207,-0.691228709,2.23295245,1.908381379,122.007,205187,4,Energetic
77,Steve Petrunak,The Old Guitar,2NXoEhxRepl0NKHYDw9s5N,31,2012,acoustic,0.024727985,-1.100440141,1,-8.939,1,0.0481,1.491499553,1.905512729,-0.263682851,-1.063476843,120.4,165373,4,Happy
78,Jon Bryant,Evening Sun,23FJw5F8nipFrzkZviz5vQ,29,2012,acoustic,-0.473976584,-1.425762696,11,-13.203,1,0.0299,1.223884165,-0.642745245,-0.591925739,-0.970373516,77.396,214703,4,Happy
79,Boyce Avenue,The One That Got Away,1Llvr4v5Y0rZtm494ak7oh,42,2012,acoustic,0.637267292,-0.508944585,8,-7.962,1,0.0349,0.725274442,-0.691228709,-0.527271837,-0.326098487,123.931,247705,4,Sad
80,Steve Petrunak,Have Yourself a Merry Little Christmas,2aIibN0HnNczY7sQQi4JIg,28,2012,acoustic,-0.414348864,-1.865687516,7,-14.374,1,0.0645,1.761931946,1.721987754,-0.562085477,-0.962925249,137.922,159280,4,Happy
81,Otis Spann,Someday (Electric),5ZUxxja3WzBZUFF6P9M9HN,34,2012,acoustic,0.236135356,-1.133711766,0,-14.209,1,0.032,1.753480933,0.601663653,0.542004238,0.120797486,94.197,206800,3,Happy
82,Harley Poe,Vampire's Night Out,7jN7uoP2ov1VVo9XguFEio,27,2012,acoustic,-0.93473624,-0.435007641,9,-7.854,1,0.0702,-0.415612212,-0.691228709,-0.204002326,0.135694018,166.242,252213,4,Intense
83,Harley Poe,That Time Of The Month,7dWYhwVvcWIKsXaPBLdDHg,27,2012,acoustic,0.16024553,-0.113381932,2,-7.941,1,0.0767,-0.418429216,-0.691222875,-0.363150393,0.247418012,92.506,257147,4,Sad
84,Boyce Avenue,I Want It That Way,16COzZ7jCVn3O8b8ZgviOx,39,2012,acoustic,-0.956419047,-1.355522599,2,-9.805,1,0.0314,1.342198337,-0.691228709,-0.630718081,-0.55699474,199.366,215161,4,Happy
85,Ron Pope,In My Bones,6UkuYlZarpxN8rSG10ewSk,33,2012,acoustic,-0.246307107,-0.002476515,10,-6.067,1,0.0382,0.759078491,-0.691213561,-0.714270816,-0.564443006,151.915,208267,4,Intense
86,Joshua Radin,Tomorrow Is Gonna Be Better,24UET6X7UiKFuv0DCutYis,24,2012,acoustic,-0.213782896,-1.562546044,6,-12.042,1,0.0305,0.604143267,-0.690872616,-0.482511443,0.55652106,111.735,169547,4,Happy
87,AJJ,Hate Song for Brains,6WWw88Mk3GFQbtspaY6ddH,26,2012,acoustic,-0.024058332,-0.431310793,2,-5.645,1,0.0284,0.006938401,-0.690998344,-0.532245214,0.135694018,145.113,143613,4,Sad
88,Boyce Avenue,Will You Be There,3D2A4RVGIEzqzhXGgzocuU,35,2012,acoustic,-0.576969919,-0.948869405,0,-8.092,1,0.0283,1.091484973,-0.691228709,-0.567058854,-0.83258059,82.471,207629,4,Happy
89,Boyce Avenue,A Thousand Miles,4vNGuGIIzh6soeBTw8hjfq,41,2012,acoustic,0.143983425,0.337633429,9,-7.538,1,0.0295,0.550620189,-0.691219177,-0.586952362,-0.739477263,95.036,244174,4,Intense
90,Boyce Avenue,With or Without You,6sT9s9sILm7LkgVzyjwcEP,38,2012,acoustic,-0.295093424,-1.311160433,5,-8.994,1,0.0271,1.322479308,-0.691228709,-0.462617935,-1.264580031,105.42,243187,4,Happy
91,Boyce Avenue,Breakeven (Falling to Pieces),5A0Bjgk5tQM3hRWxPpafmd,35,2012,acoustic,0.360811498,-1.166983391,7,-9.706,1,0.0306,0.77879752,-0.691228709,-0.432777672,-0.180857296,92.636,255242,4,Happy
92,Jaymay,Niagara Falls,4lomrPZgyfrilub7E92rdj,28,2012,acoustic,-0.28425202,-1.595817669,6,-10.049,1,0.0295,1.373185382,-0.69082605,-0.422830918,-1.190097369,92.942,119493,4,Happy
93,Boyce Avenue,Wherever You Will Go,6qrmX6Kzw4Yhrftev3RENE,39,2012,acoustic,0.713157117,-1.218739252,2,-7.844,1,0.0273,0.837954606,-0.691228709,-0.572032231,-0.955476983,112.075,204888,4,Happy
94,Boyce Avenue,Payphone,1jfvBRXzBY2eCzF75i67qw,41,2012,acoustic,0.610163783,0.05667304,7,-5.358,1,0.0309,-0.305749053,-0.691228709,-0.442724426,0.336797206,109.931,218124,4,Sad
95,Jason Mraz,I Won't Give Up - Demo,6RLkxQmjmbB6ItZBOwSK73,28,2012,acoustic,-0.381824653,-1.499699641,4,-10.538,1,0.0362,1.406989431,-0.69122282,-0.586952362,-1.2273387,142.718,315983,3,Happy
96,Johnnyswim,Adelina,1KUgTKdoh0DKIbIIedAscB,24,2012,acoustic,-0.051161841,-0.727058571,5,-6.884,1,0.0267,1.173178092,-0.691228709,-0.204002326,-0.571891273,82.924,218195,4,Happy
97,Drew Holcomb & The Neighbors,"Don't Think Twice, It's Alright",6wGoWEBRj1cQTafm7sg4ZM,28,2012,acoustic,-0.013216928,-0.194712571,4,-8.174,1,0.0308,0.209762695,-0.687969086,-0.507378329,0.537900394,78.162,279221,4,Sad
98,Mark Lanegan,St Louis Elegy,1r3aX7XuYrtPcJ1tqpmA01,35,2012,acoustic,-0.419769566,-0.867538766,9,-9.627,1,0.0257,0.184409658,-0.596453125,-0.517325083,-1.096994041,155.528,273840,4,Happy
